Team1,Team2,Eff1,Eff2,Off1,Off2,Def1,Def2,SOS_Eff1,SOS_Eff2,SOS_Off1,SOS_Off2,SOS_Def1,SOS_Def2,BPI_Off1,BPI_Off2,BPI_Def1,BPI_Def2,BPI1,BPI2,Elo1,Elo2,Score1,Score2,Eff_Diff,Score_Diff,Winner
LSU,Butler,14.86,15.78,111.5,110.3,96.6,94.5,3.5,2.51,104.6,103,101.1,100.5,6.2,2.3,3.9,8.6,10.1,10.9,1675.271236,1717.491083,75,71,-0.92,4,0
Siena,Louisville,11.93,26.06,110.3,111.2,98.4,85.2,0.91,9.57,102.4,108.6,101.5,99,8.9,7.8,-1.3,9.6,7.7,17.4,1660.573056,1710.122257,72,79,-14.13,-7,1
USC,Michigan St.,18.26,24.37,110,114.3,91.8,89.9,10.81,12.33,110.5,109.4,99.7,97.1,2.3,7.8,7.5,6.1,9.8,14,1605.226864,1715.174508,69,74,-6.11,-5,1
Kansas,Dayton,23.83,10.23,114.5,103.3,90.7,93,8.83,2.34,107.9,104.9,99.1,102.6,8.8,-0.4,6.1,7.3,14.9,6.9,1681.65803,1703.055512,60,43,13.6,17,0
Arizona,Cleveland St.,15.96,11.96,117.7,105.3,101.8,93.3,11.33,3.76,109,104.6,97.7,100.9,7,-0.8,-0.2,7.5,6.8,6.7,1587.806724,1616.197432,71,57,4,14,0
Connecticut,Texas A&M,29.25,15.01,116,113.1,86.8,98.1,10.37,7.85,109,107.1,98.6,99.3,12.3,3.9,6.4,3.8,18.6,7.8,1752.288411,1660.219616,92,66,14.24,26,0
Memphis,Maryland,28.67,13.55,112.8,110,84.2,96.4,4.73,9.61,105.5,108.3,100.8,98.7,8.1,5.7,10.3,3.5,18.5,9.3,1743.116338,1601.394377,89,70,15.12,19,0
Marquette,Missouri,21.02,24.81,117.1,116.6,96.1,91.8,8.22,7.96,107.8,106.4,99.5,98.4,10.6,12.9,1.3,2.9,11.8,15.8,1664.137417,1712.186856,79,83,-3.79,-4,1
Purdue,Washington,21.84,22.09,110.5,113.1,88.7,91,8.94,10.18,107.2,109.4,98.3,99.2,5.6,11.8,8,-0.1,13.5,11.8,1661.69332,1660.106148,76,74,-0.25,2,0
Pittsburgh,Oklahoma St.,28.96,18.33,121.2,116.4,92.3,98.1,10.11,10.46,108.1,108.8,98,98.4,11,12.3,7,-1.2,18.1,11.1,1758.879315,1641.838373,84,76,10.63,8,0
Texas,Duke,19.65,24.31,112.2,117.5,92.5,93.2,10.16,10.23,109.2,108.5,99,98.3,5.8,11.3,5.7,7,11.5,18.4,1633.965274,1726.724099,69,74,-4.66,-5,1
Villanova,UCLA,23.89,23.93,114.4,119.5,90.5,95.6,9.99,8.42,108.9,107.6,98.9,99.1,10.5,10.4,5.3,3.3,15.9,13.7,1709.600214,1660.140624,89,69,-0.04,20,0
Xavier,Wisconsin,20.24,17.62,111,113.3,90.8,95.7,5.81,9.51,105.8,107.3,100,97.8,6.1,0.6,7.3,9.9,13.5,10.6,1723.778172,1605.1859,60,49,2.62,11,0
North Carolina,LSU,31.14,14.86,123.2,111.5,92.1,96.6,9.91,3.5,108.2,104.6,98.3,101.1,20.3,6.2,1.2,3.9,21.5,10.1,1761.299207,1675.271236,84,70,16.28,14,0
Michigan,Oklahoma,14.75,24.59,112.2,118.3,97.5,93.7,11.39,9.49,108.5,108.3,97.1,98.9,3.3,10.8,5,3.7,8.3,14.5,1607.539185,1757.967884,63,73,-9.84,-10,1
Arizona St.,Syracuse,23.03,22.21,118.2,117,95.2,94.8,10.14,11.46,108.9,108.4,98.8,97,4.1,13.4,8.9,0.4,13,13.8,1665.967084,1695.901102,67,78,0.82,-11,1
Gonzaga,Western Kentucky,24.51,8.1,117.5,111.1,93,103,4.63,-0.6,105.1,102.2,100.5,102.8,12.8,3.9,2.6,-0.4,15.4,3.5,1700.259092,1625.16413,83,81,16.41,2,0
Arizona,Louisville,15.96,26.06,117.7,111.2,101.8,85.2,11.33,9.57,109,108.6,97.7,99,7,7.8,-0.2,9.6,6.8,17.4,1587.806724,1710.122257,64,103,-10.1,-39,1
Michigan St.,Kansas,24.37,23.83,114.3,114.5,89.9,90.7,12.33,8.83,109.4,107.9,97.1,99.1,7.8,8.8,6.1,6.1,14,14.9,1715.174508,1681.65803,67,62,0.54,5,0
Connecticut,Purdue,29.25,21.84,116,110.5,86.8,88.7,10.37,8.94,109,107.2,98.6,98.3,12.3,5.6,6.4,8,18.6,13.5,1752.288411,1661.69332,72,60,7.41,12,0
