Rk,Team,Conf,W-L,AdjEM,AdjO,AdjO2,AdjD,AdjD2,AdjT,AdjT2,Luck,Luck2,Strength of Schedule AdjEM,Strength of Schedule AdjEM2,Strength of Schedule OppO,Strength of Schedule OppO2,Strength of Schedule OppD,Strength of Schedule OppD2,NCSOS AdjEM,NCSOS AdjEM2,Seed,Year,BPI Off,BPI Def,BPI,Elo
22,Texas,B12,23-12,19.65,112.2,42,92.5,20,65.4,160,-0.048,288,10.16,17,109.2,8,99.0,36,2.01,108,7,2009,5.8,5.7,11.5,1633.965274
23,Clemson,ACC,23-9,19.62,116.4,16,96.7,61,67.9,67,-0.024,236,6.19,60,105.4,77,99.2,43,-4.45,266,7,2009,10.7,3.1,13.8,1685.934597
24,Wake Forest,ACC,24-7,18.88,111.6,46,92.7,22,72.8,7,0.051,52,7.66,51,107.5,41,99.9,55,-4.35,262,4,2009,11.7,1.2,12.9,1685.76063
25,Illinois,B10,24-10,18.72,106.8,104,88.1,4,62.8,271,0.001,164,7.96,45,106.5,55,98.6,23,-3.36,239,5,2009,0.7,11.3,12.0,1674.024369
26,Oklahoma St.,B12,23-12,18.33,116.4,15,98.1,73,69.3,36,-0.003,169,10.46,12,108.8,15,98.4,19,-0.28,165,8,2009,12.3,-1.2,11.1,1641.838373
27,USC,P10,22-13,18.26,110.0,65,91.8,16,63.7,242,-0.032,260,10.81,9,110.5,2,99.7,51,0.74,134,10,2009,2.3,7.5,9.8,1605.226864
28,Utah,MWC,24-10,17.8,110.8,56,92.9,23,65.0,184,0.013000000000000001,136,7.29,53,107.9,33,100.6,75,6.96,34,5,2009,3.6,3.1,6.7,1654.097705
29,Wisconsin,B10,20-13,17.62,113.3,31,95.7,46,59.1,333,-0.052000000000000005,299,9.51,28,107.3,44,97.8,9,1.32,121,12,2009,0.6,9.9,10.6,1605.1859
30,California,P10,22-11,17.37,116.8,11,99.4,96,66.0,140,0.001,162,9.17,33,108.0,30,98.8,30,-3.54,246,7,2009,8.9,0.4,9.3,1652.847706
31,Georgetown,BE,16-15,16.96,111.1,51,94.2,36,62.7,277,-0.106,340,11.11,7,108.7,16,97.6,5,2.49,96,6,2009,4.3,7.6,11.9,1593.750764
32,Tennessee,SEC,21-13,16.48,115.1,20,98.7,83,67.7,72,-0.032,261,9.4,31,107.9,31,98.5,21,9.15,21,9,2009,11.1,1.5,12.6,1632.170132
33,Baylor,B12,24-15,16.38,116.5,14,100.1,115,65.8,152,-0.017,219,10.57,11,108.6,18,98.0,11,-2.35,218,3,2009,9.1,0.4,9.5,1631.366896
34,Ohio St.,B10,22-11,16.34,113.3,32,96.9,63,62.5,284,0.042,67,9.46,30,107.7,36,98.2,14,-3.41,241,8,2009,2.9,6.8,9.7,1641.470055
35,Florida,SEC,25-11,16.16,115.1,21,98.9,88,65.8,151,-0.076,326,2.61,104,104.0,122,101.4,104,-8.15,321,1,2009,8.2,2.8,11.0,1652.975736
36,San Diego St.,MWC,26-10,16.05,109.4,71,93.3,30,61.8,305,0.02,117,5.59,66,105.6,70,100.0,61,-1.71,201,1,2009,0.4,7.7,8.1,1645.841504
37,Arizona,P10,21-14,15.96,117.7,6,101.8,147,64.9,187,0.018000000000000002,119,11.33,6,109.0,10,97.7,8,2.34,100,12,2009,7.0,-0.2,6.8,1587.806724
38,Butler,Horz,26-6,15.78,110.3,62,94.5,38,62.8,274,-0.013999999999999999,206,2.51,105,103.0,159,100.5,73,6.15,39,9,2009,2.3,8.6,10.9,1717.491083
39,Florida St.,ACC,25-10,15.76,105.9,116,90.1,7,65.9,148,0.066,28,10.01,21,109.2,6,99.2,42,0.6,140,5,2009,2.5,7.4,9.9,1673.819062
40,Minnesota,B10,22-11,15.43,108.1,90,92.6,21,64.5,211,0.031,89,8.44,38,107.4,43,98.9,33,-4.18,257,10,2009,1.1,6.1,7.2,1661.232837
41,Notre Dame,BE,21-15,15.38,115.0,22,99.6,100,67.2,94,-0.034,267,9.93,23,107.5,42,97.6,6,-3.71,250,2,2009,9.4,0.2,9.7,1571.439447
42,Miami FL,ACC,19-13,15.3,111.2,50,95.9,48,64.3,216,-0.048,290,9.1,35,108.1,29,98.9,34,-4.21,258,4,2009,6.7,4.8,11.5,1600.050564
43,New Mexico,MWC,22-12,15.29,112.2,41,96.9,62,64.8,196,-0.054000000000000006,302,4.56,80,105.9,66,101.3,100,0.48,142,3,2009,4.8,2.9,7.7,1574.813008
44,Utah St.,WAC,30-5,15.12,116.7,12,101.6,143,60.0,327,0.046,58,-0.47,169,103.2,151,103.6,192,-2.77,225,11,2009,2.8,3.9,6.7,1734.1873480000004
